Icon,Titulo,Ingredientes,Receita,Texto,Latitude,Longitude,,,,,
receita_feijao,Feijão tropeiro,"<li> 1 coração de bananeira
<li> 2 colheres de sopa de azeite de oliva
<li> 1 cebola média, picada
<li> 2 dentes de alho, picados
<li> 1 tomate médio, picado
<li> Sal e pimenta a gosto
<li> Suco de meio limão (opcional)
<li> Salsinha ou coentro picado para polvilhar (opcional)","<ol><li> Remova as folhas externas e fibras duras do coração de bananeira, deixando apenas a parte macia e clara. Corte em fatias finas ou em cubos, como preferir.
<li> Em uma panela grande, aqueça o azeite de oliva em fogo médio.
<li> Adicione a cebola picada e o alho à panela, refogando até que fiquem macios e dourados.
<li>  Acrescente o coração de bananeira cortado e refogue por alguns minutos, mexendo ocasionalmente.
<li>  Adicione o tomate picado à panela e continue refogando por mais alguns minutos até que os ingredientes estejam levemente cozidos.
<li>  Tempere com sal e pimenta a gosto. Se preferir, esprema o suco de meio limão sobre o coração de bananeira para realçar o sabor.
<li>  Reduza o fogo para médio-baixo, tampe a panela e cozinhe por cerca de 15-20 minutos, ou até que o coração de bananeira esteja macio e cozido. Se necessário, adicione um pouco de água para evitar que grude no fundo da panela.
<li>  Ao final do cozimento, polvilhe salsinha ou coentro picado sobre o coração de bananeira refogado para dar um toque de frescor.
<li>  O coração de bananeira refogado é um ótimo acompanhamento para pratos principais ou pode ser servido como um prato vegetariano. Aproveite!</ol>","<h2>Feijão tropeiro</h2>
<b>INGREDIENTES</b>
<br><br>
<li> feijão  </li>
<li> farinha de mandioca </li>
<li> ovos </li>
<li> Salsinha e cebolinha </li>
<li> cebola</li>
<li> alho</li>
<li> torresmo</li>
<li>carnes variadas</li>
<br><br>
<b>PREPARO</b>
<ol><li> Remova as folhas externas e fibras duras do coração de bananeira, deixando apenas a parte macia e clara. Corte em fatias finas ou em cubos, como preferir.
<li> Em uma panela grande, aqueça o azeite de oliva em fogo médio.
<li> Adicione a cebola picada e o alho à panela, refogando até que fiquem macios e dourados.
<li>  Acrescente o coração de bananeira cortado e refogue por alguns minutos, mexendo ocasionalmente.
<li>  Adicione o tomate picado à panela e continue refogando por mais alguns minutos até que os ingredientes estejam levemente cozidos.
<li>  Tempere com sal e pimenta a gosto. Se preferir, esprema o suco de meio limão sobre o coração de bananeira para realçar o sabor.
<li>  Reduza o fogo para médio-baixo, tampe a panela e cozinhe por cerca de 15-20 minutos, ou até que o coração de bananeira esteja macio e cozido. Se necessário, adicione um pouco de água para evitar que grude no fundo da panela.
<li>  Ao final do cozimento, polvilhe salsinha ou coentro picado sobre o coração de bananeira refogado para dar um toque de frescor.
<li>  O coração de bananeira refogado é um ótimo acompanhamento para pratos principais ou pode ser servido como um prato vegetariano. Aproveite!</ol>",-19.88,-44.00,concordia,varal,,,
receita_chuchu,Bolinho de chuchu brotado,"<li> 1 coração de bananeira
<li> 2 colheres de sopa de azeite de oliva
<li> 1 cebola média, picada
<li> 2 dentes de alho, picados
<li> 1 tomate médio, picado
<li> Sal e pimenta a gosto
<li> Suco de meio limão (opcional)
<li> Salsinha ou coentro picado para polvilhar (opcional)","<ol><li> Remova as folhas externas e fibras duras do coração de bananeira, deixando apenas a parte macia e clara. Corte em fatias finas ou em cubos, como preferir.
<li> Em uma panela grande, aqueça o azeite de oliva em fogo médio.
<li> Adicione a cebola picada e o alho à panela, refogando até que fiquem macios e dourados.
<li>  Acrescente o coração de bananeira cortado e refogue por alguns minutos, mexendo ocasionalmente.
<li>  Adicione o tomate picado à panela e continue refogando por mais alguns minutos até que os ingredientes estejam levemente cozidos.
<li>  Tempere com sal e pimenta a gosto. Se preferir, esprema o suco de meio limão sobre o coração de bananeira para realçar o sabor.
<li>  Reduza o fogo para médio-baixo, tampe a panela e cozinhe por cerca de 15-20 minutos, ou até que o coração de bananeira esteja macio e cozido. Se necessário, adicione um pouco de água para evitar que grude no fundo da panela.
<li>  Ao final do cozimento, polvilhe salsinha ou coentro picado sobre o coração de bananeira refogado para dar um toque de frescor.
<li>  O coração de bananeira refogado é um ótimo acompanhamento para pratos principais ou pode ser servido como um prato vegetariano. Aproveite!</ol>","<h2>Bolinho de chuchu brotado</h2>
<b>INGREDIENTES</b>
<br><br>
<li> chuchu </li>
<li> ovos</li>
<li> sal</li>
<li> salsinha </li>
<li> cebolinha </li>
<li> Sal e pimenta a gosto</li>
<li> farinha de trigo</li>
<br><br>
<b>PREPARO</b>
<ol><li> Remova as folhas externas e fibras duras do coração de bananeira, deixando apenas a parte macia e clara. Corte em fatias finas ou em cubos, como preferir.
<li> Em uma panela grande, aqueça o azeite de oliva em fogo médio.
<li> Adicione a cebola picada e o alho à panela, refogando até que fiquem macios e dourados.
<li>  Acrescente o coração de bananeira cortado e refogue por alguns minutos, mexendo ocasionalmente.
<li>  Adicione o tomate picado à panela e continue refogando por mais alguns minutos até que os ingredientes estejam levemente cozidos.
<li>  Tempere com sal e pimenta a gosto. Se preferir, esprema o suco de meio limão sobre o coração de bananeira para realçar o sabor.
<li>  Reduza o fogo para médio-baixo, tampe a panela e cozinhe por cerca de 15-20 minutos, ou até que o coração de bananeira esteja macio e cozido. Se necessário, adicione um pouco de água para evitar que grude no fundo da panela.
<li>  Ao final do cozimento, polvilhe salsinha ou coentro picado sobre o coração de bananeira refogado para dar um toque de frescor.
<li>  O coração de bananeira refogado é um ótimo acompanhamento para pratos principais ou pode ser servido como um prato vegetariano. Aproveite!</ol>",-19.85,-43.985,concordia,feijao,,-44.00128,norte
receita_panela,,,,"<p>""O segredo da cozinha é água quente, tendo água quente você resolve várias coisas em vários momentos, com rapidez. Se você chegar numa cozinha de festa do rosário e não tiver ninguém na casa, se tiver saído todo mundo e você não sabe o que fazer, põe água pra ferver, mantém água quente. Porque se não tiver nada pra fazer com aquela água, tem que lavar o tanque, lavar vasilha, lavar as coisas.”</p>
<br>
 <p>“a pessoa não esquece da comida que ela não comeu, fica o gosto do cheiro na boca, a lembrança do gosto. "" </p>
<br>
<p>“ O segredo do tutu é mexer, mexer três horas sem parar pra respirar. O tutu é um creme de feijão, tem que mexer no centro e nas beiradas, no centro e nas beiradas, aí coloca uma pinga no tutu pra salientar o gosto dele.""</p>
<br>
<p>“Meu avô plantava uma horta pra ele e uma pros bichos. Agora, como é que ensinava o bicho a comer só o dele eu não sei te falar não. Se era reza, se era prece, se era oração, se era conversa...”</p>",-19.845,-43.96,concordia,,,,
receita_milho,Mandiopã,"<li> 1 coração de bananeira
<li> 2 colheres de sopa de azeite de oliva
<li> 1 cebola média, picada
<li> 2 dentes de alho, picados
<li> 1 tomate médio, picado
<li> Sal e pimenta a gosto
<li> Suco de meio limão (opcional)
<li> Salsinha ou coentro picado para polvilhar (opcional)","<ol><li> Remova as folhas externas e fibras duras do coração de bananeira, deixando apenas a parte macia e clara. Corte em fatias finas ou em cubos, como preferir.
<li> Em uma panela grande, aqueça o azeite de oliva em fogo médio.
<li> Adicione a cebola picada e o alho à panela, refogando até que fiquem macios e dourados.
<li>  Acrescente o coração de bananeira cortado e refogue por alguns minutos, mexendo ocasionalmente.
<li>  Adicione o tomate picado à panela e continue refogando por mais alguns minutos até que os ingredientes estejam levemente cozidos.
<li>  Tempere com sal e pimenta a gosto. Se preferir, esprema o suco de meio limão sobre o coração de bananeira para realçar o sabor.
<li>  Reduza o fogo para médio-baixo, tampe a panela e cozinhe por cerca de 15-20 minutos, ou até que o coração de bananeira esteja macio e cozido. Se necessário, adicione um pouco de água para evitar que grude no fundo da panela.
<li>  Ao final do cozimento, polvilhe salsinha ou coentro picado sobre o coração de bananeira refogado para dar um toque de frescor.
<li>  O coração de bananeira refogado é um ótimo acompanhamento para pratos principais ou pode ser servido como um prato vegetariano. Aproveite!</ol>","<h2>Mandiopã</h2>
<b>INGREDIENTES</b>
<br><br>
<li>Fubá</li>
<li>Polvilho</li>
<li>sal</li>
<li>óleo para fritar </li>
<br><br>
<b>PREPARO</b>
<ol><li> Remova as folhas externas e fibras duras do coração de bananeira, deixando apenas a parte macia e clara. Corte em fatias finas ou em cubos, como preferir.
<li> Em uma panela grande, aqueça o azeite de oliva em fogo médio.
<li> Adicione a cebola picada e o alho à panela, refogando até que fiquem macios e dourados.
<li>  Acrescente o coração de bananeira cortado e refogue por alguns minutos, mexendo ocasionalmente.
<li>  Adicione o tomate picado à panela e continue refogando por mais alguns minutos até que os ingredientes estejam levemente cozidos.
<li>  Tempere com sal e pimenta a gosto. Se preferir, esprema o suco de meio limão sobre o coração de bananeira para realçar o sabor.
<li>  Reduza o fogo para médio-baixo, tampe a panela e cozinhe por cerca de 15-20 minutos, ou até que o coração de bananeira esteja macio e cozido. Se necessário, adicione um pouco de água para evitar que grude no fundo da panela.
<li>  Ao final do cozimento, polvilhe salsinha ou coentro picado sobre o coração de bananeira refogado para dar um toque de frescor.
<li>  O coração de bananeira refogado é um ótimo acompanhamento para pratos principais ou pode ser servido como um prato vegetariano. Aproveite!</ol>",-19.98,-43.898492,sta tereza,salsinha,,-43.896,sul
receita_banana,Doce de banana,"<li> 1 coração de bananeira
<li> 2 colheres de sopa de azeite de oliva
<li> 1 cebola média, picada
<li> 2 dentes de alho, picados
<li> 1 tomate médio, picado
<li> Sal e pimenta a gosto
<li> Suco de meio limão (opcional)
<li> Salsinha ou coentro picado para polvilhar (opcional)","<ol><li> Remova as folhas externas e fibras duras do coração de bananeira, deixando apenas a parte macia e clara. Corte em fatias finas ou em cubos, como preferir.
<li> Em uma panela grande, aqueça o azeite de oliva em fogo médio.
<li> Adicione a cebola picada e o alho à panela, refogando até que fiquem macios e dourados.
<li>  Acrescente o coração de bananeira cortado e refogue por alguns minutos, mexendo ocasionalmente.
<li>  Adicione o tomate picado à panela e continue refogando por mais alguns minutos até que os ingredientes estejam levemente cozidos.
<li>  Tempere com sal e pimenta a gosto. Se preferir, esprema o suco de meio limão sobre o coração de bananeira para realçar o sabor.
<li>  Reduza o fogo para médio-baixo, tampe a panela e cozinhe por cerca de 15-20 minutos, ou até que o coração de bananeira esteja macio e cozido. Se necessário, adicione um pouco de água para evitar que grude no fundo da panela.
<li>  Ao final do cozimento, polvilhe salsinha ou coentro picado sobre o coração de bananeira refogado para dar um toque de frescor.
<li>  O coração de bananeira refogado é um ótimo acompanhamento para pratos principais ou pode ser servido como um prato vegetariano. Aproveite!</ol>","<h2>Doce de banana</h2>
<b>INGREDIENTES</b>
<br><br>
<li>banana</li>
<li>açúcar </li>
<li>canela </li>
<br><br>
<b>PREPARO</b>
<ol><li> Remova as folhas externas e fibras duras do coração de bananeira, deixando apenas a parte macia e clara. Corte em fatias finas ou em cubos, como preferir.
<li> Em uma panela grande, aqueça o azeite de oliva em fogo médio.
<li> Adicione a cebola picada e o alho à panela, refogando até que fiquem macios e dourados.
<li>  Acrescente o coração de bananeira cortado e refogue por alguns minutos, mexendo ocasionalmente.
<li>  Adicione o tomate picado à panela e continue refogando por mais alguns minutos até que os ingredientes estejam levemente cozidos.
<li>  Tempere com sal e pimenta a gosto. Se preferir, esprema o suco de meio limão sobre o coração de bananeira para realçar o sabor.
<li>  Reduza o fogo para médio-baixo, tampe a panela e cozinhe por cerca de 15-20 minutos, ou até que o coração de bananeira esteja macio e cozido. Se necessário, adicione um pouco de água para evitar que grude no fundo da panela.
<li>  Ao final do cozimento, polvilhe salsinha ou coentro picado sobre o coração de bananeira refogado para dar um toque de frescor.
<li>  O coração de bananeira refogado é um ótimo acompanhamento para pratos principais ou pode ser servido como um prato vegetariano. Aproveite!</ol>",-19.92,-43.889,sta tereza,salsinha,,,
receita_banana,Angu de banana verde,"<li> 1 coração de bananeira
<li> 2 colheres de sopa de azeite de oliva
<li> 1 cebola média, picada
<li> 2 dentes de alho, picados
<li> 1 tomate médio, picado
<li> Sal e pimenta a gosto
<li> Suco de meio limão (opcional)
<li> Salsinha ou coentro picado para polvilhar (opcional)","<ol><li> Remova as folhas externas e fibras duras do coração de bananeira, deixando apenas a parte macia e clara. Corte em fatias finas ou em cubos, como preferir.
<li> Em uma panela grande, aqueça o azeite de oliva em fogo médio.
<li> Adicione a cebola picada e o alho à panela, refogando até que fiquem macios e dourados.
<li>  Acrescente o coração de bananeira cortado e refogue por alguns minutos, mexendo ocasionalmente.
<li>  Adicione o tomate picado à panela e continue refogando por mais alguns minutos até que os ingredientes estejam levemente cozidos.
<li>  Tempere com sal e pimenta a gosto. Se preferir, esprema o suco de meio limão sobre o coração de bananeira para realçar o sabor.
<li>  Reduza o fogo para médio-baixo, tampe a panela e cozinhe por cerca de 15-20 minutos, ou até que o coração de bananeira esteja macio e cozido. Se necessário, adicione um pouco de água para evitar que grude no fundo da panela.
<li>  Ao final do cozimento, polvilhe salsinha ou coentro picado sobre o coração de bananeira refogado para dar um toque de frescor.
<li>  O coração de bananeira refogado é um ótimo acompanhamento para pratos principais ou pode ser servido como um prato vegetariano. Aproveite!</ol>","<h2>Angu de banana verde</h2>
<b>INGREDIENTES</b>
<br><br>
<li>banana verde</li>
<li>sal</li>
<br><br>
<b>PREPARO</b>
<ol><li> Remova as folhas externas e fibras duras do coração de bananeira, deixando apenas a parte macia e clara. Corte em fatias finas ou em cubos, como preferir.
<li> Em uma panela grande, aqueça o azeite de oliva em fogo médio.
<li> Adicione a cebola picada e o alho à panela, refogando até que fiquem macios e dourados.
<li>  Acrescente o coração de bananeira cortado e refogue por alguns minutos, mexendo ocasionalmente.
<li>  Adicione o tomate picado à panela e continue refogando por mais alguns minutos até que os ingredientes estejam levemente cozidos.
<li>  Tempere com sal e pimenta a gosto. Se preferir, esprema o suco de meio limão sobre o coração de bananeira para realçar o sabor.
<li>  Reduza o fogo para médio-baixo, tampe a panela e cozinhe por cerca de 15-20 minutos, ou até que o coração de bananeira esteja macio e cozido. Se necessário, adicione um pouco de água para evitar que grude no fundo da panela.
<li>  Ao final do cozimento, polvilhe salsinha ou coentro picado sobre o coração de bananeira refogado para dar um toque de frescor.
<li>  O coração de bananeira refogado é um ótimo acompanhamento para pratos principais ou pode ser servido como um prato vegetariano. Aproveite!</ol>",-19.76,-43.9,areias,galinha ,,,
receita_couve,Bolo de couve,"<li> 1 coração de bananeira
<li> 2 colheres de sopa de azeite de oliva
<li> 1 cebola média, picada
<li> 2 dentes de alho, picados
<li> 1 tomate médio, picado
<li> Sal e pimenta a gosto
<li> Suco de meio limão (opcional)
<li> Salsinha ou coentro picado para polvilhar (opcional)","<ol><li> Remova as folhas externas e fibras duras do coração de bananeira, deixando apenas a parte macia e clara. Corte em fatias finas ou em cubos, como preferir.
<li> Em uma panela grande, aqueça o azeite de oliva em fogo médio.
<li> Adicione a cebola picada e o alho à panela, refogando até que fiquem macios e dourados.
<li>  Acrescente o coração de bananeira cortado e refogue por alguns minutos, mexendo ocasionalmente.
<li>  Adicione o tomate picado à panela e continue refogando por mais alguns minutos até que os ingredientes estejam levemente cozidos.
<li>  Tempere com sal e pimenta a gosto. Se preferir, esprema o suco de meio limão sobre o coração de bananeira para realçar o sabor.
<li>  Reduza o fogo para médio-baixo, tampe a panela e cozinhe por cerca de 15-20 minutos, ou até que o coração de bananeira esteja macio e cozido. Se necessário, adicione um pouco de água para evitar que grude no fundo da panela.
<li>  Ao final do cozimento, polvilhe salsinha ou coentro picado sobre o coração de bananeira refogado para dar um toque de frescor.
<li>  O coração de bananeira refogado é um ótimo acompanhamento para pratos principais ou pode ser servido como um prato vegetariano. Aproveite!</ol>","<h2>Bolo de couve</h2>
<b>INGREDIENTES</b>
<br><br>
<li>couve</li>
<li>água</li>
<li>ovos</li>
<li>farinha</li>
<li> açúcar</li>
<li>água</li>
<li>óleo</li>
<li>fermento</li>
<br><br>
<b>PREPARO</b>
<ol><li> Remova as folhas externas e fibras duras do coração de bananeira, deixando apenas a parte macia e clara. Corte em fatias finas ou em cubos, como preferir.
<li> Em uma panela grande, aqueça o azeite de oliva em fogo médio.
<li> Adicione a cebola picada e o alho à panela, refogando até que fiquem macios e dourados.
<li>  Acrescente o coração de bananeira cortado e refogue por alguns minutos, mexendo ocasionalmente.
<li>  Adicione o tomate picado à panela e continue refogando por mais alguns minutos até que os ingredientes estejam levemente cozidos.
<li>  Tempere com sal e pimenta a gosto. Se preferir, esprema o suco de meio limão sobre o coração de bananeira para realçar o sabor.
<li>  Reduza o fogo para médio-baixo, tampe a panela e cozinhe por cerca de 15-20 minutos, ou até que o coração de bananeira esteja macio e cozido. Se necessário, adicione um pouco de água para evitar que grude no fundo da panela.
<li>  Ao final do cozimento, polvilhe salsinha ou coentro picado sobre o coração de bananeira refogado para dar um toque de frescor.
<li>  O coração de bananeira refogado é um ótimo acompanhamento para pratos principais ou pode ser servido como um prato vegetariano. Aproveite!</ol>",-19.85,-43.915,areias,varal,,-19.952775,oeste
receita_jilo,Doce de jiló,"<li> 1 coração de bananeira
<li> 2 colheres de sopa de azeite de oliva
<li> 1 cebola média, picada
<li> 2 dentes de alho, picados
<li> 1 tomate médio, picado
<li> Sal e pimenta a gosto
<li> Suco de meio limão (opcional)
<li> Salsinha ou coentro picado para polvilhar (opcional)","<ol><li> Remova as folhas externas e fibras duras do coração de bananeira, deixando apenas a parte macia e clara. Corte em fatias finas ou em cubos, como preferir.
<li> Em uma panela grande, aqueça o azeite de oliva em fogo médio.
<li> Adicione a cebola picada e o alho à panela, refogando até que fiquem macios e dourados.
<li>  Acrescente o coração de bananeira cortado e refogue por alguns minutos, mexendo ocasionalmente.
<li>  Adicione o tomate picado à panela e continue refogando por mais alguns minutos até que os ingredientes estejam levemente cozidos.
<li>  Tempere com sal e pimenta a gosto. Se preferir, esprema o suco de meio limão sobre o coração de bananeira para realçar o sabor.
<li>  Reduza o fogo para médio-baixo, tampe a panela e cozinhe por cerca de 15-20 minutos, ou até que o coração de bananeira esteja macio e cozido. Se necessário, adicione um pouco de água para evitar que grude no fundo da panela.
<li>  Ao final do cozimento, polvilhe salsinha ou coentro picado sobre o coração de bananeira refogado para dar um toque de frescor.
<li>  O coração de bananeira refogado é um ótimo acompanhamento para pratos principais ou pode ser servido como um prato vegetariano. Aproveite!</ol>","<h2>Doce de jiló</h2>
<b>INGREDIENTES</b>
<br><br>
<li> jiló</li>
<li>açúcar</li>
<li>canela</li>
<li>folha de mamão</li>
<li>cravo </li>
<br><br>
<b>PREPARO</b>
<ol><li> Remova as folhas externas e fibras duras do coração de bananeira, deixando apenas a parte macia e clara. Corte em fatias finas ou em cubos, como preferir.
<li> Em uma panela grande, aqueça o azeite de oliva em fogo médio.
<li> Adicione a cebola picada e o alho à panela, refogando até que fiquem macios e dourados.
<li>  Acrescente o coração de bananeira cortado e refogue por alguns minutos, mexendo ocasionalmente.
<li>  Adicione o tomate picado à panela e continue refogando por mais alguns minutos até que os ingredientes estejam levemente cozidos.
<li>  Tempere com sal e pimenta a gosto. Se preferir, esprema o suco de meio limão sobre o coração de bananeira para realçar o sabor.
<li>  Reduza o fogo para médio-baixo, tampe a panela e cozinhe por cerca de 15-20 minutos, ou até que o coração de bananeira esteja macio e cozido. Se necessário, adicione um pouco de água para evitar que grude no fundo da panela.
<li>  Ao final do cozimento, polvilhe salsinha ou coentro picado sobre o coração de bananeira refogado para dar um toque de frescor.
<li>  O coração de bananeira refogado é um ótimo acompanhamento para pratos principais ou pode ser servido como um prato vegetariano. Aproveite!</ol>",-19.96,-44.02,papagaio,feijao ,,-19.86184 ,leste
receita_quiabo,Pó de quiabo,"<li> 1 coração de bananeira
<li> 2 colheres de sopa de azeite de oliva
<li> 1 cebola média, picada
<li> 2 dentes de alho, picados
<li> 1 tomate médio, picado
<li> Sal e pimenta a gosto
<li> Suco de meio limão (opcional)
<li> Salsinha ou coentro picado para polvilhar (opcional)","<ol><li> Remova as folhas externas e fibras duras do coração de bananeira, deixando apenas a parte macia e clara. Corte em fatias finas ou em cubos, como preferir.
<li> Em uma panela grande, aqueça o azeite de oliva em fogo médio.
<li> Adicione a cebola picada e o alho à panela, refogando até que fiquem macios e dourados.
<li>  Acrescente o coração de bananeira cortado e refogue por alguns minutos, mexendo ocasionalmente.
<li>  Adicione o tomate picado à panela e continue refogando por mais alguns minutos até que os ingredientes estejam levemente cozidos.
<li>  Tempere com sal e pimenta a gosto. Se preferir, esprema o suco de meio limão sobre o coração de bananeira para realçar o sabor.
<li>  Reduza o fogo para médio-baixo, tampe a panela e cozinhe por cerca de 15-20 minutos, ou até que o coração de bananeira esteja macio e cozido. Se necessário, adicione um pouco de água para evitar que grude no fundo da panela.
<li>  Ao final do cozimento, polvilhe salsinha ou coentro picado sobre o coração de bananeira refogado para dar um toque de frescor.
<li>  O coração de bananeira refogado é um ótimo acompanhamento para pratos principais ou pode ser servido como um prato vegetariano. Aproveite!</ol>","<h2>Pó de quiabo</h2>
<b>INGREDIENTES</b>
<br><br>
<li>quiabo</li>
<br><br>
<b>PREPARO</b>
<ol><li> Remova as folhas externas e fibras duras do coração de bananeira, deixando apenas a parte macia e clara. Corte em fatias finas ou em cubos, como preferir.
<li> Em uma panela grande, aqueça o azeite de oliva em fogo médio.
<li> Adicione a cebola picada e o alho à panela, refogando até que fiquem macios e dourados.
<li>  Acrescente o coração de bananeira cortado e refogue por alguns minutos, mexendo ocasionalmente.
<li>  Adicione o tomate picado à panela e continue refogando por mais alguns minutos até que os ingredientes estejam levemente cozidos.
<li>  Tempere com sal e pimenta a gosto. Se preferir, esprema o suco de meio limão sobre o coração de bananeira para realçar o sabor.
<li>  Reduza o fogo para médio-baixo, tampe a panela e cozinhe por cerca de 15-20 minutos, ou até que o coração de bananeira esteja macio e cozido. Se necessário, adicione um pouco de água para evitar que grude no fundo da panela.
<li>  Ao final do cozimento, polvilhe salsinha ou coentro picado sobre o coração de bananeira refogado para dar um toque de frescor.
<li>  O coração de bananeira refogado é um ótimo acompanhamento para pratos principais ou pode ser servido como um prato vegetariano. Aproveite!</ol>",-19.92,-43.945,papagaio,galinha ,,,
receita_panela,,,,"<p>""eu converso com a comida, chamo de neném de mamãe, falo pra ir devagar, trato ela como uma filha, um bem precioso.""</p>
<br>
<p>“5:30, 6h da manhã, quando junta aquela neblina, aquele sereninho com o sol, aí dá aquele cheirinho da rosa branca.”</p>
<br>
<p>“o angu de banana verde se faz sozinho, não precisa de muita coisa pra ele    se transformar”</p>
<br>
<p>“Cada canto é um canto, cada terra tem os seus mistérios e os seus cuidados.”</p>",-19.80,-43.91,areias,,,,
receita_panela,,,,"<p>“A essência da comida é igual a essência do perfume, o perfume em você vai ficar com um cheiro, em mim vai ficar de outro cheiro, a mesma coisa é um batom vermelho, em mim vai ficar de um tom e em você de outro tom. Com a comida também é assim, o seu tempero pode ser parecido, mas ele nunca vai ser igual ao meu.”</p>
<br>
<p>“O melhor momento da banana pra mim não é a hora que eu tô comendo, é a hora que eu planto ela e eu tenho a esperança de que ela vai dar um cacho lindo”</p>
<br>
<p>“A gente come com todas as partes do corpo. Primeiro com os olhos, depois com o cheiro, aí depois com o paladar, aí vai só confirmar que tá bom.”</p>
<br>
<p>""Eu invento qualquer coisa, se você chegar aqui amanhã e disser: inventa um prato aí pra mim, eu vou lá e invento com a minha cabeça.""</p>",-19.95,-43.97,papagaio,,,,
receita_panela,,,,"<p>“Dizem que é bom ter louro espalhado em casa, que ele chama dinheiro. Eu coloco louro em tudo, ele é primordial em toda culinária.”</p>
<br>
<p>""Não uso tampa na panela porque eu gosto de escutar a comida.”</p>
<br>
<p>“Dizem que não se deve mexer no arroz, então eu só sacudo.”</p>
<br>
<p>""Canela abre os caminhos do amor, é bom passar canela em pó atrás da orelha. ""</p>",-19.95,-43.89,,,,,