Icon,Titulo,Link,Latitude,Longitude,,,,,
video_panela,video_panela,840623927,-19.82,-43.975,concordia,,,,
video_tambor,video_tambor,840553116,-19.87,-44.01,concordia,,,-44.00128,norte
video_panela,video_panela,840560237,-19.826,-44.035,concordia,,,,
video_ovo,video_ovo,840562349,-19.82,-44.025,concordia,,,,
video_vaca,video_vaca,840590155,-19.965,-43.91,sta tereza,,,-43.896,sul
video_banana,video_banana,840592205,-19.935,-43.886,sta tereza,,,,
video_fogo,video_fogo,840660075,-19.945,-43.86,sta tereza,,,,
video_banana,video_banana,840576525,-19.80,-43.87,areias,,,,
video_milho,video_milho,840578813,-19.81,-43.92,areias,,,-19.952775,oeste
video_quiabo,video_quiabo,840584430,-19.788,-43.885,areias,,,,
video_feijao,video_feijao,840587483,-19.835,-43.88,areias,,,,
video_paudoce,video_paudoce,840605487,-19.995,-43.975,papagaio,,,-19.86184 ,leste
video_porco,video_porco,840598620,-19.92,-43.965,papagaio,,,,
video_pimenta,video_pimenta,840603540,-19.98,-44.015,papagaio,,,,
video_panela,video_panela,840614545,-19.945,-43.96,papagaio,,,,
video_arroz,video_arroz,840601752,-19.985,-43.955,papagaio,,,,
v4,,130826253,-19.7,-44.05,nordeste,,,,
v4,,97821275,-20.05,-43.79,sudoeste,,,,
,,,,,,,video_,,